Precinct County Code	Precinct County Name	Precinct Election Number	Precinct Election Date	Precinct Election Name	Precinct Unique Precinct Identifier	Precinct Precinct Polling Location	Precinct Total Registered Voters	Precinct Total Registered Republicans	Precinct Total Registered Democrats	Precinct Total Registered All Other Parties	Contest Contest Name	Contest District	Contest Contest Code	Votes Candidate/Retention/Issue Name/WriteInsCast/OverVotes/UnderVotes	Votes Candidate Party	Votes Candidate Florida Voter Registration System ID Number	Votes DOE Assigned Candidate Number or Retention/Issue Number	Votes Vote Total
PUT	Putnam	10281	08/30/2016	2016 Primary Election	33	Palatka Woman's Club	1685	17410	0	0	State Representative	District 19	260191	Bobby Payne	REP	107495730	64619	151
PUT	Putnam	10281	08/30/2016	2016 Primary Election	33	Palatka Woman's Club	1685	17410	0	0	State Representative	District 19	260191	Leslie Dougher	REP	102815637	64792	18
PUT	Putnam	10281	08/30/2016	2016 Primary Election	34	Palatka Woman's Club	752	17410	0	0	State Representative	District 19	260191	OverVotes		0	901	0
PUT	Putnam	10281	08/30/2016	2016 Primary Election	34	Palatka Woman's Club	752	17410	0	0	State Representative	District 19	260191	UnderVotes		0	902	0
PUT	Putnam	10281	08/30/2016	2016 Primary Election	34	Palatka Woman's Club	752	17410	0	0	State Representative	District 19	260191	Katherine Van Zant	REP	100751342	64457	10
PUT	Putnam	10281	08/30/2016	2016 Primary Election	34	Palatka Woman's Club	752	17410	0	0	State Representative	District 19	260191	Bobby Payne	REP	107495730	64619	50
PUT	Putnam	10281	08/30/2016	2016 Primary Election	34	Palatka Woman's Club	752	17410	0	0	State Representative	District 19	260191	Leslie Dougher	REP	102815637	64792	8
PUT	Putnam	10281	08/30/2016	2016 Primary Election	35	Price Martin Community Center	1346	17410	0	0	State Representative	District 19	260191	OverVotes		0	901	0
PUT	Putnam	10281	08/30/2016	2016 Primary Election	35	Price Martin Community Center	1346	17410	0	0	State Representative	District 19	260191	UnderVotes		0	902	3
PUT	Putnam	10281	08/30/2016	2016 Primary Election	35	Price Martin Community Center	1346	17410	0	0	State Representative	District 19	260191	Katherine Van Zant	REP	100751342	64457	4
PUT	Putnam	10281	08/30/2016	2016 Primary Election	35	Price Martin Community Center	1346	17410	0	0	State Representative	District 19	260191	Bobby Payne	REP	107495730	64619	36
PUT	Putnam	10281	08/30/2016	2016 Primary Election	35	Price Martin Community Center	1346	17410	0	0	State Representative	District 19	260191	Leslie Dougher	REP	102815637	64792	2
